Time	Note	Amount	Before Balance	After Balance	Symbol	Type
9/8/2025 6:27	From unified trading account	1.94E-14	5.09933E-09	5.09935E-09	USDT	Check Note
9/8/2025 6:27	From unified trading account	2.18362E-09	9.89484E-09	1.20785E-08	SOL	Check Note
9/8/2025 6:26	From unified trading account	0.57848198	6.17299E-05	0.57854371	SOL	Check Note
9/8/2025 6:26	Simple Earn subscription	-0.5785437	0.57854371	9.89484E-09	SOL	Check Note
9/8/2025 6:26	To unified trading account	-119.147377	119.147377	5.09933E-09	USDT	Check Note
9/8/2025 6:25	From unified trading account	119.147377	7.09933E-09	119.147377	USDT	Check Note
9/8/2025 6:25	To unified trading account	-0.5831	0.5831	0	OKSOL	Check Note
9/8/2025 6:21	Simple Earn subscription	-0.89330786	0.893307865	4.53058E-09	LINK	Check Note
9/8/2025 6:20	Stake	-1.4232	1.423277974	7.7974E-05	AVAX	Check Note
9/8/2025 6:20	SOL Staking subscription	-0.5831	0.58316173	6.17299E-05	SOL	Check Note
9/8/2025 6:20	SOL Staking swapping	0.5831	0	0.5831	OKSOL	Check Note
9/8/2025 6:19	From unified trading account	0.893307865	0	0.893307865	LINK	Check Note
9/8/2025 6:19	From unified trading account	1.421632354	0.00164562	1.423277974	AVAX	Check Note
9/8/2025 6:19	From unified trading account	0.58316173	0	0.58316173	SOL	Check Note
9/8/2025 6:19	From unified trading account	5.318E-13	7.0988E-09	7.09933E-09	USDT	Check Note
9/8/2025 6:10	To unified trading account	-175	175	7.0988E-09	USDT	Check Note
9/8/2025 6:10	Simple Earn redemption	175	7.0988E-09	175	USDT	Check Note
8/29/2025 12:58	Simple Earn subscription	-314.648875	314.648875	7.0988E-09	USDT	Check Note
8/29/2025 12:57	Simple Earn redemption	314.648875	9.40426E-09	314.648875	USDT	Check Note
8/29/2025 12:57	Simple Earn subscription	-0.00088612	0.000886122	2.29943E-09	BTC	Check Note
8/29/2025 12:56	From unified trading account	0.000886122	0	0.000886122	BTC	Check Note
8/26/2025 4:44	To unified trading account	-1.98006E-09	1.98006E-09	0	BTC	Check Note
8/25/2025 4:17	To unified trading account	-100	100	9.40426E-09	USDT	Check Note
8/25/2025 4:17	Simple Earn redemption	100	9.40426E-09	100	USDT	Check Note
8/22/2025 4:12	Simple Earn subscription	-0.00206097	0.002060972	1.98006E-09	BTC	Check Note
8/22/2025 4:11	From unified trading account	9.40426E-09	0	9.40426E-09	USDT	Check Note
8/22/2025 4:11	From unified trading account	0.002060963	9.16458E-09	0.002060972	BTC	Check Note
8/20/2025 4:15	To unified trading account	-100	100	0	USDT	Check Note
8/20/2025 4:15	Simple Earn redemption	100	0	100	USDT	Check Note
8/20/2025 3:39	To unified trading account	-2	2	0	USDT	Check Note
8/20/2025 3:39	Simple Earn redemption	2	0	2	USDT	Check Note
8/20/2025 3:38	Simple Earn redemption	130	0	130	USDT	Check Note
8/20/2025 3:38	To unified trading account	-130	130	0	USDT	Check Note
8/19/2025 13:29	Simple Earn subscription	-0.00043869	0.000438699	9.16458E-09	BTC	Check Note
8/19/2025 13:26	From unified trading account	0.000438699	0	0.000438699	BTC	Check Note
8/19/2025 13:19	To unified trading account	-30.83655494	30.83655494	0	USDT	Check Note
8/19/2025 13:14	Simple Earn redemption	20	30.83655494	50.83655494	USDT	Check Note
8/19/2025 13:14	To unified trading account	-20	50.83655494	30.83655494	USDT	Check Note
8/19/2025 12:51	From unified trading account	30.83655494	0	30.83655494	USDT	Check Note
8/14/2025 8:38	To unified trading account	-0.000250007	0.000250007	0	BTC	Check Note
8/14/2025 8:37	Simple Earn redemption	0.00025	7.03965E-09	0.000250007	BTC	Check Note
8/1/2025 7:32	Simple Earn subscription	-0.00099921	0.000999217	7.03965E-09	BTC	Check Note
8/1/2025 7:31	From unified trading account	0.000999207	9.64483E-09	0.000999217	BTC	Check Note
8/1/2025 7:30	To unified trading account	-116.5	116.5	0	USDT	Check Note
8/1/2025 7:30	Simple Earn redemption	116.5	1.89396E-09	116.5	USDT	Check Note
